species,subset_size,hour,expected_abundance
Black Woodpecker,20,0,0.0002194242308183327
Black Woodpecker,20,1,0.0004398458445040214
Black Woodpecker,20,2,0.0009032768603419919
Black Woodpecker,20,3,0.010946777877072784
Black Woodpecker,20,4,0.00026301601944764714
Black Woodpecker,20,5,1.0812878765149933e-05
Black Woodpecker,20,6,1.1819072161754767e-05
Black Woodpecker,20,7,0.00033705520803568065
Black Woodpecker,20,8,9.017480663605435e-06
Black Woodpecker,20,9,2.9160849077275756e-07
Black Woodpecker,20,10,3.2384471330271084e-05
Black Woodpecker,20,11,2.5803085400250584e-06
Black Woodpecker,20,12,9.862392107150534e-06
Black Woodpecker,20,13,1.9045454516597798e-06
Black Woodpecker,20,14,0.00016610619342322382
Black Woodpecker,20,15,1.1790796680550112e-05
Black Woodpecker,20,16,0.0046559869735422164
Black Woodpecker,20,17,8.363229611936682e-05
Black Woodpecker,20,18,0.0018933034471644767
Black Woodpecker,20,19,0.000657497493994796
Black Woodpecker,20,20,0.000617508930960489
Black Woodpecker,20,21,0.00019987222948470815
Black Woodpecker,20,22,0.0
Black Woodpecker,20,23,3.81686382040587e-06
Black Woodpecker,22,0,0.0001798446651387828
Black Woodpecker,22,1,0.0002532262905162065
Black Woodpecker,22,2,0.0007442816698872062
Black Woodpecker,22,3,0.009608338284808872
Black Woodpecker,22,4,0.00020328586572093612
Black Woodpecker,22,5,8.286745400005232e-06
Black Woodpecker,22,6,8.86578967588643e-06
Black Woodpecker,22,7,0.00031944205162008773
Black Woodpecker,22,8,6.385450580152958e-06
Black Woodpecker,22,9,2.0773484923269392e-08
Black Woodpecker,22,10,2.8046976774314276e-05
Black Woodpecker,22,11,1.0293637277319217e-06
Black Woodpecker,22,12,8.091843741750894e-06
Black Woodpecker,22,13,8.310107243121131e-07
Black Woodpecker,22,14,0.00014719938527662553
Black Woodpecker,22,15,8.296818620830948e-06
Black Woodpecker,22,16,0.004385910172565856
Black Woodpecker,22,17,7.355772588533536e-05
Black Woodpecker,22,18,0.0017841383945530521
Black Woodpecker,22,19,0.0005828430935225371
Black Woodpecker,22,20,0.0005412450066082995
Black Woodpecker,22,21,0.00013580751609434158
Black Woodpecker,22,22,0.0
Black Woodpecker,22,23,0.0
Black Woodpecker,24,0,0.00014985572401039426
Black Woodpecker,24,1,0.00017337031900138697
Black Woodpecker,24,2,0.0006161152107310952
Black Woodpecker,24,3,0.008600726605413582
Black Woodpecker,24,4,0.00016490665942972644
Black Woodpecker,24,5,6.3264160106244305e-06
Black Woodpecker,24,6,6.559556472617681e-06
Black Woodpecker,24,7,0.00030813946474026355
Black Woodpecker,24,8,4.543792038586072e-06
Black Woodpecker,24,9,2.08082580818286e-08
Black Woodpecker,24,10,2.570582889245051e-05
Black Woodpecker,24,11,5.400930860253639e-07
Black Woodpecker,24,12,6.587418494658591e-06
Black Woodpecker,24,13,4.3601997478853227e-07
Black Woodpecker,24,14,0.00013453939031754424
Black Woodpecker,24,15,5.889477284024361e-06
Black Woodpecker,24,16,0.004192001449198892
Black Woodpecker,24,17,6.540874676250338e-05
Black Woodpecker,24,18,0.0017082402615340429
Black Woodpecker,24,19,0.0005251740203623619
Black Woodpecker,24,20,0.00048286342103894003
Black Woodpecker,24,21,9.822177092469571e-05
Black Woodpecker,24,22,0.0
Black Woodpecker,24,23,0.0
Black Woodpecker,26,0,0.00010113075330466636
Black Woodpecker,26,1,5.844310968534571e-05
Black Woodpecker,26,2,0.0004250864225288778
Black Woodpecker,26,3,0.007253808992939428
Black Woodpecker,26,4,0.00011499650218972506
Black Woodpecker,26,5,3.641883407287846e-06
Black Woodpecker,26,6,3.5397266546905916e-06
Black Woodpecker,26,7,0.00029792135052378993
Black Woodpecker,26,8,2.1509954522262326e-06
Black Woodpecker,26,9,0.0
Black Woodpecker,26,10,2.3586922761830594e-05
Black Woodpecker,26,11,4.905010787344974e-08
Black Woodpecker,26,12,4.8354640371661205e-06
Black Woodpecker,26,13,3.959840877754168e-08
Black Woodpecker,26,14,0.00011715732459332622
Black Woodpecker,26,15,2.6802921387685296e-06
Black Woodpecker,26,16,0.003991522170735694
Black Woodpecker,26,17,5.51314122731732e-05
Black Woodpecker,26,18,0.0016334959884496591
Black Woodpecker,26,19,0.00045432764104095754
Black Woodpecker,26,20,0.00040864600098744497
Black Woodpecker,26,21,4.007849857652229e-05
Black Woodpecker,26,22,0.0
Black Woodpecker,26,23,0.0
Black Woodpecker,28,0,9.695466971835462e-05
Black Woodpecker,28,1,7.152393667747473e-05
Black Woodpecker,28,2,0.0004067047379699543
Black Woodpecker,28,3,0.007080551846906987
Black Woodpecker,28,4,0.0001089409479201408
Black Woodpecker,28,5,3.6681399765793738e-06
Black Woodpecker,28,6,3.823297817505096e-06
Black Woodpecker,28,7,0.0002947461791096761
Black Woodpecker,28,8,2.1624721861880343e-06
Black Woodpecker,28,9,0.0
Black Woodpecker,28,10,2.178768640825722e-05
Black Woodpecker,28,11,1.7133156838973684e-07
Black Woodpecker,28,12,4.5973408980245825e-06
Black Woodpecker,28,13,1.5807642489299017e-07
Black Woodpecker,28,14,0.00011424890508216562
Black Woodpecker,28,15,2.022503812745897e-06
Black Woodpecker,28,16,0.003925729760615594
Black Woodpecker,28,17,5.254682440453609e-05
Black Woodpecker,28,18,0.0016027927947646042
Black Woodpecker,28,19,0.0004390872488145791
Black Woodpecker,28,20,0.0003871346579054716
Black Woodpecker,28,21,4.551523243112028e-05
Black Woodpecker,28,22,0.0
Black Woodpecker,28,23,0.0
Black Woodpecker,30,0,9.139169686566215e-05
Black Woodpecker,30,1,6.55636086210185e-05
Black Woodpecker,30,2,0.0003856682860059912
Black Woodpecker,30,3,0.006707214557681848
Black Woodpecker,30,4,0.00010181153233398634
Black Woodpecker,30,5,3.388556136901068e-06
Black Woodpecker,30,6,3.5549962162766686e-06
Black Woodpecker,30,7,0.0002831286119653801
Black Woodpecker,30,8,2.0993343121387486e-06
Black Woodpecker,30,9,0.0
Black Woodpecker,30,10,2.070953285403418e-05
Black Woodpecker,30,11,1.7133156838973684e-07
Black Woodpecker,30,12,4.054797562232861e-06
Black Woodpecker,30,13,1.5807642489299017e-07
Black Woodpecker,30,14,0.00010522485699668985
Black Woodpecker,30,15,2.0877458712215715e-06
Black Woodpecker,30,16,0.0037907031817638603
Black Woodpecker,30,17,4.9247920630260283e-05
Black Woodpecker,30,18,0.00155588143024944
Black Woodpecker,30,19,0.00040207355309205205
Black Woodpecker,30,20,0.00036078129193108186
Black Woodpecker,30,21,4.367623314097401e-05
Black Woodpecker,30,22,0.0
Black Woodpecker,30,23,0.0
Black Woodpecker,32,0,7.224630432366344e-05
Black Woodpecker,32,1,5.401460350729155e-05
Black Woodpecker,32,2,0.0003005203415143984
Black Woodpecker,32,3,0.00624652661998444
Black Woodpecker,32,4,8.11245495481215e-05
Black Woodpecker,32,5,2.52490963002097e-06
Black Woodpecker,32,6,2.579819647823794e-06
Black Woodpecker,32,7,0.0002814300297136271
Black Woodpecker,32,8,1.6399425931787788e-06
Black Woodpecker,32,9,0.0
Black Woodpecker,32,10,1.837759288986863e-05
Black Woodpecker,32,11,1.467087254500981e-07
Black Woodpecker,32,12,3.194950973334683e-06
Black Woodpecker,32,13,1.1843872181878923e-07
Black Woodpecker,32,14,9.760707952940256e-05
Black Woodpecker,32,15,1.6294198665648518e-06
Black Woodpecker,32,16,0.0037088450436557137
Black Woodpecker,32,17,4.6903503662298535e-05
Black Woodpecker,32,18,0.0015232035450796896
Black Woodpecker,32,19,0.0003705029579699612
Black Woodpecker,32,20,0.00032009557814795643
Black Woodpecker,32,21,3.444674395597431e-05
Black Woodpecker,32,22,0.0
Black Woodpecker,32,23,0.0
Black Woodpecker,34,0,6.518801176564115e-05
Black Woodpecker,34,1,1.788695444788934e-05
Black Woodpecker,34,2,0.00025462605743466
Black Woodpecker,34,3,0.005698880850800717
Black Woodpecker,34,4,6.80129816082287e-05
Black Woodpecker,34,5,1.9801145043163698e-06
