species,subset_size,week_number,expected_abundance
Bohemian Waxwing,20,1,0.11672017465005778
Bohemian Waxwing,20,2,0.0
Bohemian Waxwing,20,7,0.0
Bohemian Waxwing,20,8,0.0021307188281046445
Bohemian Waxwing,20,9,0.0001671886233747243
Bohemian Waxwing,20,10,0.0001999949153835072
Bohemian Waxwing,20,12,0.0024858443597885697
Bohemian Waxwing,20,13,0.002607933892469151
Bohemian Waxwing,20,14,0.025444810419768683
Bohemian Waxwing,20,15,0.00012349349372241407
Bohemian Waxwing,20,31,0.038347065898361066
Bohemian Waxwing,20,32,0.001001669449081803
Bohemian Waxwing,20,38,0.0150116628759896
Bohemian Waxwing,20,39,0.05653246482232292
Bohemian Waxwing,20,40,0.12924890578071413
Bohemian Waxwing,20,41,0.26739852616313387
Bohemian Waxwing,20,46,0.1532850784463152
Bohemian Waxwing,20,47,4.079196851464356e-05
Bohemian Waxwing,20,48,0.0493627034819124
Bohemian Waxwing,20,49,0.0
Bohemian Waxwing,20,50,0.354686382065347
Bohemian Waxwing,20,51,0.0007124276895601196
Bohemian Waxwing,20,52,3.066335048209601e-05
Bohemian Waxwing,22,1,0.11712200262150145
Bohemian Waxwing,22,2,0.0
Bohemian Waxwing,22,7,0.0
Bohemian Waxwing,22,8,0.0022190506171432768
Bohemian Waxwing,22,9,0.0001848595628242054
Bohemian Waxwing,22,10,0.00021878460909635172
Bohemian Waxwing,22,12,0.002517248456090918
Bohemian Waxwing,22,13,0.0026239146910384493
Bohemian Waxwing,22,14,0.025399606087878723
Bohemian Waxwing,22,15,0.00014188357308605925
Bohemian Waxwing,22,31,0.03796792276362888
Bohemian Waxwing,22,32,0.000996208278031002
Bohemian Waxwing,22,38,0.014745206876439916
Bohemian Waxwing,22,39,0.05553707659141171
Bohemian Waxwing,22,40,0.12826204406025407
Bohemian Waxwing,22,41,0.26693260705957
Bohemian Waxwing,22,46,0.1516528501375916
Bohemian Waxwing,22,47,6.500839817795067e-05
Bohemian Waxwing,22,48,0.04908381217151739
Bohemian Waxwing,22,49,0.0
Bohemian Waxwing,22,50,0.3561086980732821
Bohemian Waxwing,22,51,0.0007109612351300321
Bohemian Waxwing,22,52,6.136768105170568e-05
Bohemian Waxwing,24,1,0.11687220595036225
Bohemian Waxwing,24,2,0.0
Bohemian Waxwing,24,7,0.0
Bohemian Waxwing,24,8,0.0012529876709102214
Bohemian Waxwing,24,9,0.00010044419739722754
Bohemian Waxwing,24,10,0.00011868067776839637
Bohemian Waxwing,24,12,0.0018712003631397316
Bohemian Waxwing,24,13,0.0021260771211376647
Bohemian Waxwing,24,14,0.025186509154445025
Bohemian Waxwing,24,15,8.235649380953688e-05
Bohemian Waxwing,24,31,0.037273471674531856
Bohemian Waxwing,24,32,0.0006036537907619521
Bohemian Waxwing,24,38,0.01375631634930721
Bohemian Waxwing,24,39,0.05393226930050578
Bohemian Waxwing,24,40,0.12632337172374694
Bohemian Waxwing,24,41,0.2651329595217371
Bohemian Waxwing,24,46,0.14961064817616285
Bohemian Waxwing,24,47,3.627163829922288e-05
Bohemian Waxwing,24,48,0.04863082250963816
Bohemian Waxwing,24,49,0.0
Bohemian Waxwing,24,50,0.35645099723256035
Bohemian Waxwing,24,51,0.00045828090289105346
Bohemian Waxwing,24,52,2.7265415184109715e-05
Bohemian Waxwing,26,1,0.11472710928470528
Bohemian Waxwing,26,2,0.0
Bohemian Waxwing,26,7,0.0
Bohemian Waxwing,26,8,0.0010692194119293233
Bohemian Waxwing,26,9,7.945115338215761e-05
Bohemian Waxwing,26,10,0.00010338720202028762
Bohemian Waxwing,26,12,0.0015307411462229335
Bohemian Waxwing,26,13,0.001899759500455496
Bohemian Waxwing,26,14,0.02436693788947545
Bohemian Waxwing,26,15,3.659066480664121e-05
Bohemian Waxwing,26,31,0.03538573847691194
Bohemian Waxwing,26,32,0.0004717342359590143
Bohemian Waxwing,26,38,0.012373700650910634
Bohemian Waxwing,26,39,0.04996993997933063
Bohemian Waxwing,26,40,0.12047482604972037
Bohemian Waxwing,26,41,0.25716261108581645
Bohemian Waxwing,26,46,0.1421113341655868
Bohemian Waxwing,26,47,1.0575695540833516e-05
Bohemian Waxwing,26,48,0.04687106497176751
Bohemian Waxwing,26,49,0.0
Bohemian Waxwing,26,50,0.3526273948644566
Bohemian Waxwing,26,51,0.0003494195752610941
Bohemian Waxwing,26,52,6.8140778849102245e-06
Bohemian Waxwing,28,1,0.1177033370097725
Bohemian Waxwing,28,2,0.0
Bohemian Waxwing,28,7,0.0
Bohemian Waxwing,28,8,0.0005049852841120451
Bohemian Waxwing,28,9,2.4825793512679407e-05
Bohemian Waxwing,28,10,5.9241405341543626e-05
Bohemian Waxwing,28,12,0.00126649535997657
Bohemian Waxwing,28,13,0.0016650548377086332
Bohemian Waxwing,28,14,0.024932234668813526
Bohemian Waxwing,28,15,9.135465246406336e-06
Bohemian Waxwing,28,31,0.03625820315254428
Bohemian Waxwing,28,32,0.0002799098170338125
Bohemian Waxwing,28,38,0.012101594840556607
Bohemian Waxwing,28,39,0.05092223201384589
Bohemian Waxwing,28,40,0.12288276549235877
Bohemian Waxwing,28,41,0.2617370773422791
Bohemian Waxwing,28,46,0.1464034488701681
Bohemian Waxwing,28,47,3.017597117591233e-06
Bohemian Waxwing,28,48,0.04843878562478733
Bohemian Waxwing,28,49,0.0
Bohemian Waxwing,28,50,0.3564442115625844
Bohemian Waxwing,28,51,0.00020937211628682431
Bohemian Waxwing,28,52,1.7012473545603635e-06
Bohemian Waxwing,30,1,0.11602606866115872
Bohemian Waxwing,30,2,0.0
Bohemian Waxwing,30,7,0.0
Bohemian Waxwing,30,8,0.0004993695218777836
Bohemian Waxwing,30,9,3.262515643032094e-05
Bohemian Waxwing,30,10,5.248846100445982e-05
Bohemian Waxwing,30,12,0.0011689296326136316
Bohemian Waxwing,30,13,0.0015946588685221955
Bohemian Waxwing,30,14,0.024344558033684117
Bohemian Waxwing,30,15,1.827702486589233e-05
Bohemian Waxwing,30,31,0.03510584117009906
Bohemian Waxwing,30,32,0.0002585821740487542
Bohemian Waxwing,30,38,0.011476873083798024
Bohemian Waxwing,30,39,0.04868796459544459
Bohemian Waxwing,30,40,0.11933664996522506
Bohemian Waxwing,30,41,0.2559686255483454
Bohemian Waxwing,30,46,0.1412949070842966
Bohemian Waxwing,30,47,1.509301827160792e-06
Bohemian Waxwing,30,48,0.04690442092225306
Bohemian Waxwing,30,49,0.0
Bohemian Waxwing,30,50,0.3546650147717526
Bohemian Waxwing,30,51,0.00018423134803046993
Bohemian Waxwing,30,52,1.7018148153190561e-06
Bohemian Waxwing,32,1,0.11759304383512453
Bohemian Waxwing,32,2,0.0
Bohemian Waxwing,32,7,0.0
Bohemian Waxwing,32,8,0.00045294481590202513
Bohemian Waxwing,32,9,3.212749748699688e-05
Bohemian Waxwing,32,10,5.077834743560883e-05
Bohemian Waxwing,32,12,0.0011319302279790594
Bohemian Waxwing,32,13,0.0015870223263297952
